Washtenaw County, Michigan, Average Temperature, May-April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
190104,46.8,0.0
190204,46.3,-0.5
190304,46.6,-0.2
190404,42.6,-4.2
190504,44.2,-2.6
190604,46.5,-0.3
190704,46.0,-0.8
190804,44.5,-2.3
190904,47.2,0.4
191004,46.6,-0.2
191104,45.6,-1.2
191204,44.9,-1.9
191304,46.9,0.1
191404,46.8,0.0
191504,46.9,0.1
191604,44.8,-2.0
191704,45.5,-1.3
191804,42.5,-4.3
191904,47.9,1.1
192004,45.4,-1.4
192104,48.6,1.8
192204,48.0,1.2
192304,46.7,-0.1
192404,46.0,-0.8
192504,45.6,-1.2
192604,44.3,-2.5
192704,46.2,-0.6
192804,46.2,-0.6
192904,46.4,-0.4
193004,45.8,-1.0
193104,48.0,1.2
193204,50.0,3.2
193304,47.5,0.7
193404,46.3,-0.5
193504,48.4,1.6
193604,44.5,-2.3
193704,47.7,0.9
193804,47.5,0.7
193904,47.6,0.8
194004,46.8,0.0
194104,46.9,0.1
194204,49.0,2.2
194304,46.1,-0.7
194404,46.3,-0.5
194504,48.1,1.3
194604,47.0,0.2
194704,46.7,-0.1
194804,46.7,-0.1
194904,48.2,1.4
195004,47.7,0.9
195104,45.9,-0.9
195204,46.6,-0.2
195304,48.2,1.4
195404,49.1,2.3
195504,47.2,0.4
195604,47.3,0.5
195704,47.3,0.5
195804,46.8,0.0
195904,45.5,-1.3
196004,47.7,0.9
196104,46.6,-0.2
196204,46.5,-0.3
196304,45.4,-1.4
196404,47.4,0.6
196504,46.3,-0.5
196604,47.0,0.2
196704,46.4,-0.4
196804,46.1,-0.7
196904,47.0,0.2
197004,45.6,-1.2
197104,47.0,0.2
197204,47.5,0.7
197304,47.3,0.5
197404,47.8,1.0
197504,46.1,-0.7
197604,48.4,1.6
197704,44.8,-2.0
197804,44.9,-1.9
197904,45.8,-1.0
198004,46.1,-0.7
198104,46.7,-0.1
198204,44.9,-1.9
198304,48.7,1.9
198404,46.3,-0.5
198504,47.9,1.1
198604,47.0,0.2
198704,48.1,1.3
198804,48.0,1.2
198904,47.9,1.1
199004,47.4,0.6
199104,48.6,1.8
199204,48.8,2.0
199304,45.8,-1.0
199404,46.0,-0.8
199504,48.0,1.2
199604,46.6,-0.2
199704,47.1,0.3
199804,48.3,1.5
199904,50.0,3.2
200004,49.7,2.9
200104,47.4,0.6
200204,50.3,3.5
200304,47.2,0.4
200404,47.8,1.0
200504,47.8,1.0
200604,50.0,3.2
200704,48.4,1.6
200804,49.0,2.2
200904,47.0,0.2
201004,48.3,1.5
201104,48.1,1.3
201204,51.6,4.8
201304,49.4,2.6
201404,45.8,-1.0
201504,46.0,-0.8
201604,50.9,4.1
201704,51.5,4.7
201804,47.7,0.9
201904,48.9,2.1
202004,49.6,2.8
202104,49.3,2.5
